Time [s], Type, Src, Dst, Cmd, Dat
1.833811708333333, command, 0x0, 0x0, 0x02
4.612631500000000, command, 0x3, 0x0, 0x0F
5.201490291666667, command, 0x0, 0x0, 0x01
5.248639583333333, command, 0x6, 0x6, 0x00
5.304111000000000, command, 0x0, 0x3, 0x13
5.362355958333334, command, 0x0, 0x3, 0x05
5.670222750000000, command, 0x6, 0x6, 0x00
5.725694125000000, command, 0x0, 0x3, 0x13
5.783939083333333, command, 0x0, 0x3, 0x10
6.299219541666667, command, 0x3, 0x0, 0x06
11.770095833333333, command, 0x3, 0x0, 0x10
13.048090500000001, command with data, 0x3, 0x0, 0x0C, 0x0000
13.140799208333334, command, 0x3, 0x0, 0x07
13.198853541666667, command, 0x0, 0x3, 0x1C
13.258772958333333, command, 0x3, 0x0, 0x10
14.870139333333332, command with data, 0x3, 0x0, 0x0C, 0x0001
15.764228708333333, command with data, 0x3, 0x0, 0x0C, 0x0002
16.185597874999999, command, 0x3, 0x0, 0x11
17.723957958333333, command with data, 0x3, 0x0, 0x0C, 0x0001
18.831237833333333, command with data, 0x3, 0x0, 0x0C, 0x0000
19.588486750000001, command, 0x3, 0x0, 0x10
20.799575833333332, command with data, 0x3, 0x0, 0x0C, 0x0001
21.644820374999998, command with data, 0x3, 0x0, 0x0C, 0x0002
22.959449750000001, command, 0x3, 0x0, 0x11
23.023287958333334, command with data, 0x3, 0x0, 0x0C, 0x0003
24.751633625000000, command with data, 0x3, 0x0, 0x0C, 0x0002
25.633676916666666, command with data, 0x3, 0x0, 0x0C, 0x0001
26.726519875000001, command, 0x3, 0x0, 0x06
46.508475333333337, command, 0x3, 0x0, 0x10
47.632130125000003, command with data, 0x3, 0x0, 0x0C, 0x0000
47.724843874999998, command, 0x3, 0x0, 0x07
47.782893000000001, command, 0x0, 0x3, 0x1C
47.842814750000002, command, 0x3, 0x0, 0x10
49.167444875000001, command with data, 0x3, 0x0, 0x0C, 0x0001
50.141761000000002, command with data, 0x3, 0x0, 0x0C, 0x0002
51.176593375000003, command with data, 0x3, 0x0, 0x0C, 0x0003
52.084290500000002, command with data, 0x3, 0x0, 0x0C, 0x0004
53.195179791666668, command with data, 0x3, 0x0, 0x0C, 0x0005
54.111762624999997, command with data, 0x3, 0x0, 0x0C, 0x0006
55.240417291666667, command with data, 0x3, 0x0, 0x0C, 0x0007
56.188480958333336, command with data, 0x3, 0x0, 0x0C, 0x0008
57.171287416666665, command with data, 0x3, 0x0, 0x0C, 0x0009
58.201120333333336, command with data, 0x3, 0x0, 0x0C, 0x0010
59.108542958333331, command with data, 0x3, 0x0, 0x0C, 0x0011
60.244137208333335, command with data, 0x3, 0x0, 0x0C, 0x0012
61.135181375000002, command with data, 0x3, 0x0, 0x0C, 0x0013
62.293257875000002, command with data, 0x3, 0x0, 0x0C, 0x0014
63.210118291666667, command with data, 0x3, 0x0, 0x0C, 0x0015
64.207474916666669, command with data, 0x3, 0x0, 0x0C, 0x0016
65.219824041666669, command with data, 0x3, 0x0, 0x0C, 0x0017
66.153337458333340, command with data, 0x3, 0x0, 0x0C, 0x0018
67.295868291666665, command with data, 0x3, 0x0, 0x0C, 0x0019
67.767378916666672, command, 0x0, 0x4, 0x07
67.822851041666667, command, 0x0, 0x3, 0x05
68.151104125000003, command with data, 0x3, 0x0, 0x0C, 0x0020
69.308904916666663, command with data, 0x3, 0x0, 0x0C, 0x0021
70.222990416666661, command with data, 0x3, 0x0, 0x0C, 0x0022
71.187809666666666, command, 0x0, 0x3, 0x11
71.245047874999997, command, 0x3, 0x0, 0x11
72.199657583333334, command with data, 0x3, 0x0, 0x0C, 0x0021
73.140955000000005, command with data, 0x3, 0x0, 0x0C, 0x0020
73.809994791666668, command, 0x0, 0x3, 0x11
73.867099374999995, command, 0x3, 0x0, 0x10
74.848461000000000, command with data, 0x3, 0x0, 0x0C, 0x0021
76.010717041666666, command with data, 0x3, 0x0, 0x0C, 0x0022
76.165360666666672, command, 0x0, 0x3, 0x08
76.297938583333334, command, 0x0, 0x3, 0x12
76.354804916666666, command, 0x3, 0x0, 0x12
76.412103125000002, command, 0x3, 0x0, 0x12
76.475828625000005, command with data, 0x3, 0x0, 0x0C, 0x0023
76.583529541666664, command with data, 0x3, 0x0, 0x0C, 0x0024
76.688456791666667, command with data, 0x3, 0x0, 0x0C, 0x0025
76.796154874999999, command with data, 0x3, 0x0, 0x0C, 0x0026
76.903860916666673, command with data, 0x3, 0x0, 0x0C, 0x0027
77.014335833333334, command with data, 0x3, 0x0, 0x0C, 0x0028
77.119260624999995, command with data, 0x3, 0x0, 0x0C, 0x0029
77.226962499999999, command with data, 0x3, 0x0, 0x0C, 0x0031
77.334661666666662, command with data, 0x3, 0x0, 0x0C, 0x0032
77.442366375000006, command with data, 0x3, 0x0, 0x0C, 0x0033
77.552844166666674, command with data, 0x3, 0x0, 0x0C, 0x0033
78.020850333333328, command, 0x3, 0x0, 0x10
78.235041208333328, command, 0x0, 0x3, 0x09
78.375319291666671, command, 0x3, 0x0, 0x13
78.433631666666670, command, 0x0, 0x3, 0x12
79.138951875000004, command, 0x3, 0x0, 0x13
79.220563041666665, command with data, 0x3, 0x0, 0x0C, 0x0031
79.328264291666670, command with data, 0x3, 0x0, 0x0C, 0x0030
79.433189666666664, command with data, 0x3, 0x0, 0x0C, 0x0029
79.540893041666664, command with data, 0x3, 0x0, 0x0C, 0x0028
79.645818583333337, command with data, 0x3, 0x0, 0x0C, 0x0027
79.756295833333340, command with data, 0x3, 0x0, 0x0C, 0x0026
79.863999208333340, command with data, 0x3, 0x0, 0x0C, 0x0024
79.968927791666673, command with data, 0x3, 0x0, 0x0C, 0x0022
80.065081375000005, command, 0x0, 0x3, 0x09
80.120552333333336, command, 0x0, 0x3, 0x12
80.267328041666673, command with data, 0x3, 0x0, 0x0C, 0x0015
80.375029416666663, command with data, 0x3, 0x0, 0x0C, 0x0014
80.479956000000001, command with data, 0x3, 0x0, 0x0C, 0x0013
80.587661374999996, command with data, 0x3, 0x0, 0x0C, 0x0012
80.692584958333327, command with data, 0x3, 0x0, 0x0C, 0x0011
80.797511499999999, command with data, 0x3, 0x0, 0x0C, 0x0009
80.902441041666663, command with data, 0x3, 0x0, 0x0C, 0x0007
81.010140458333339, command with data, 0x3, 0x0, 0x0C, 0x0006
81.115072999999995, command with data, 0x3, 0x0, 0x0C, 0x0004
81.217220708333329, command with data, 0x3, 0x0, 0x0C, 0x0002
81.319370416666672, command with data, 0x3, 0x0, 0x0C, 0x0001
81.504798166666660, command with data, 0x3, 0x0, 0x0D, 0x0003
81.612497083333338, command with data, 0x3, 0x0, 0x0D, 0x0005
81.720195958333335, command with data, 0x3, 0x0, 0x0D, 0x0006
81.827902791666673, command with data, 0x3, 0x0, 0x0D, 0x0008
82.721661958333328, command, 0x0, 0x3, 0x08
82.776114208333340, command, 0x3, 0x0, 0x10
82.885307583333329, command, 0x0, 0x3, 0x12
83.117532916666661, command with data, 0x3, 0x0, 0x0D, 0x0010
84.800504916666668, command with data, 0x3, 0x0, 0x0D, 0x0009
85.733182208333332, command with data, 0x3, 0x0, 0x0D, 0x0008
86.427967833333327, command, 0x3, 0x0, 0x11
86.961437875000001, command, 0x0, 0x3, 0x08
87.094572291666665, command, 0x0, 0x3, 0x12
87.151349916666661, command, 0x3, 0x0, 0x13
87.506382416666668, command, 0x3, 0x0, 0x13
87.572998499999997, command with data, 0x3, 0x0, 0x0D, 0x0009
87.680700333333334, command with data, 0x3, 0x0, 0x0D, 0x0010
87.785625333333329, command with data, 0x3, 0x0, 0x0D, 0x0011
88.784270291666672, command, 0x0, 0x3, 0x08
88.916851500000007, command, 0x0, 0x3, 0x12
89.473585708333331, command, 0x3, 0x0, 0x10
90.422934291666664, command, 0x0, 0x3, 0x08
90.557542166666664, command, 0x3, 0x0, 0x12
90.612651041666666, command, 0x0, 0x3, 0x12
91.070790708333334, command with data, 0x3, 0x0, 0x0D, 0x0009
91.178491416666660, command with data, 0x3, 0x0, 0x0D, 0x0008
91.283417000000000, command with data, 0x3, 0x0, 0x0D, 0x0007
91.393895208333333, command with data, 0x3, 0x0, 0x0D, 0x0006
91.501598583333333, command with data, 0x3, 0x0, 0x0D, 0x0005
91.609301958333333, command with data, 0x3, 0x0, 0x0D, 0x0004
91.714226499999995, command with data, 0x3, 0x0, 0x0D, 0x0003
91.821927875000000, command with data, 0x3, 0x0, 0x0D, 0x0002
91.926859416666673, command with data, 0x3, 0x0, 0x0D, 0x0001
92.031781958333340, command with data, 0x3, 0x0, 0x0C, 0x0000
92.131155833333338, command with data, 0x3, 0x0, 0x0C, 0x0002
92.233307499999995, command with data, 0x3, 0x0, 0x0C, 0x0003
92.338235874999995, command with data, 0x3, 0x0, 0x0C, 0x0002
92.440384374999994, command with data, 0x3, 0x0, 0x0C, 0x0001
92.635188208333332, command, 0x0, 0x3, 0x08
92.767766499999993, command, 0x0, 0x3, 0x12
92.823240624999997, command, 0x0, 0x3, 0x08
92.877300875000003, command, 0x3, 0x0, 0x12
92.932521958333339, command, 0x0, 0x3, 0x12
93.988743374999999, command with data, 0x3, 0x0, 0x0C, 0x0003
94.093670916666667, command with data, 0x3, 0x0, 0x0C, 0x0004
94.195821666666660, command with data, 0x3, 0x0, 0x0C, 0x0005
94.300747208333334, command with data, 0x3, 0x0, 0x0C, 0x0006
94.405673750000005, command with data, 0x3, 0x0, 0x0C, 0x0007
94.513378125000003, command with data, 0x3, 0x0, 0x0C, 0x0008
94.615527833333331, command with data, 0x3, 0x0, 0x0C, 0x0009
94.720570208333328, command with data, 0x3, 0x0, 0x0C, 0x0010
94.822603083333334, command with data, 0x3, 0x0, 0x0C, 0x0011
94.927533583333329, command with data, 0x3, 0x0, 0x0C, 0x0012
95.032459125000003, command with data, 0x3, 0x0, 0x0C, 0x0013
95.140161500000005, command with data, 0x3, 0x0, 0x0C, 0x0015
95.247862874999996, command with data, 0x3, 0x0, 0x0C, 0x0016
95.355564250000000, command with data, 0x3, 0x0, 0x0C, 0x0017
95.466042458333334, command with data, 0x3, 0x0, 0x0C, 0x0019
95.573744833333336, command with data, 0x3, 0x0, 0x0C, 0x0020
95.675896541666660, command with data, 0x3, 0x0, 0x0C, 0x0021
95.780938916666670, command with data, 0x3, 0x0, 0x0C, 0x0022
95.885750625000000, command with data, 0x3, 0x0, 0x0C, 0x0024
95.990677166666671, command with data, 0x3, 0x0, 0x0C, 0x0025
96.098495374999999, command with data, 0x3, 0x0, 0x0C, 0x0026
96.206080916666664, command with data, 0x3, 0x0, 0x0C, 0x0027
96.316563125000002, command with data, 0x3, 0x0, 0x0C, 0x0029
96.504761666666667, command with data, 0x3, 0x0, 0x0C, 0x0031
96.612467041666662, command with data, 0x3, 0x0, 0x0C, 0x0033
96.722945249999995, command with data, 0x3, 0x0, 0x0C, 0x0034
96.830642666666662, command with data, 0x3, 0x0, 0x0C, 0x0035
96.941136833333331, command with data, 0x3, 0x0, 0x0C, 0x0036
97.051600041666660, command with data, 0x3, 0x0, 0x0C, 0x0037
97.164852124999996, command with data, 0x3, 0x0, 0x0C, 0x0039
97.275333291666669, command with data, 0x3, 0x0, 0x0C, 0x0040
97.377482999999998, command with data, 0x3, 0x0, 0x0C, 0x0041
97.482410541666667, command with data, 0x3, 0x0, 0x0C, 0x0043
97.590228749999994, command with data, 0x3, 0x0, 0x0C, 0x0044
97.695038458333329, command with data, 0x3, 0x0, 0x0C, 0x0045
97.802740833333331, command with data, 0x3, 0x0, 0x0C, 0x0047
97.913220041666662, command with data, 0x3, 0x0, 0x0C, 0x0048
98.018145583333336, command with data, 0x3, 0x0, 0x0C, 0x0049
98.125849958333333, command with data, 0x3, 0x0, 0x0C, 0x0051
98.233550333333326, command with data, 0x3, 0x0, 0x0C, 0x0052
98.341250708333334, command with data, 0x3, 0x0, 0x0C, 0x0053
98.451731916666660, command with data, 0x3, 0x0, 0x0C, 0x0054
98.559436291666671, command with data, 0x3, 0x0, 0x0C, 0x0056
98.669913500000007, command with data, 0x3, 0x0, 0x0C, 0x0057
98.783168541666669, command with data, 0x3, 0x0, 0x0C, 0x0058
98.890869916666674, command with data, 0x3, 0x0, 0x0C, 0x0100
98.993017624999993, command with data, 0x3, 0x0, 0x0C, 0x0101
99.097945166666662, command with data, 0x3, 0x0, 0x0C, 0x0102
99.202872708333331, command with data, 0x3, 0x0, 0x0C, 0x0104
99.307797249999993, command with data, 0x3, 0x0, 0x0C, 0x0105
99.415501625000005, command with data, 0x3, 0x0, 0x0C, 0x0106
99.523317833333337, command with data, 0x3, 0x0, 0x0C, 0x0107
99.633682208333340, command with data, 0x3, 0x0, 0x0C, 0x0109
99.741383583333331, command with data, 0x3, 0x0, 0x0C, 0x0110
99.846309125000005, command with data, 0x3, 0x0, 0x0C, 0x0111
99.954011499999993, command with data, 0x3, 0x0, 0x0C, 0x0113
100.064490708333338, command with data, 0x3, 0x0, 0x0C, 0x0114
100.172194083333338, command with data, 0x3, 0x0, 0x0C, 0x0115
100.282672291666671, command with data, 0x3, 0x0, 0x0C, 0x0117
100.396043125000006, command with data, 0x3, 0x0, 0x0C, 0x0118
100.503626666666662, command with data, 0x3, 0x0, 0x0C, 0x0119
100.614109874999997, command with data, 0x3, 0x0, 0x0C, 0x0121
100.721810250000004, command with data, 0x3, 0x0, 0x0C, 0x0122
100.829509625000000, command with data, 0x3, 0x0, 0x0C, 0x0123
100.939987833333333, command with data, 0x3, 0x0, 0x0C, 0x0125
101.050466041666667, command with data, 0x3, 0x0, 0x0C, 0x0126
101.160948250000004, command with data, 0x3, 0x0, 0x0C, 0x0127
101.274201291666671, command with data, 0x3, 0x0, 0x0C, 0x0129
101.384678500000007, command with data, 0x3, 0x0, 0x0C, 0x0130
101.492380874999995, command with data, 0x3, 0x0, 0x0C, 0x0131
101.602859083333328, command with data, 0x3, 0x0, 0x0C, 0x0133
101.716112124999995, command with data, 0x3, 0x0, 0x0C, 0x0134
101.826591333333340, command with data, 0x3, 0x0, 0x0C, 0x0136
101.939843374999995, command with data, 0x3, 0x0, 0x0C, 0x0137
102.055874250000002, command with data, 0x3, 0x0, 0x0C, 0x0138
102.166351458333338, command with data, 0x3, 0x0, 0x0C, 0x0140
102.271281958333333, command with data, 0x3, 0x0, 0x0C, 0x0141
102.378980374999998, command with data, 0x3, 0x0, 0x0C, 0x0142
102.486684708333328, command with data, 0x3, 0x0, 0x0C, 0x0144
102.594386083333333, command with data, 0x3, 0x0, 0x0C, 0x0145
102.704866291666661, command with data, 0x3, 0x0, 0x0C, 0x0146
102.815342500000000, command with data, 0x3, 0x0, 0x0C, 0x0148
102.923043875000005, command with data, 0x3, 0x0, 0x0C, 0x0149
103.033520083333329, command with data, 0x3, 0x0, 0x0C, 0x0150
103.141227458333333, command with data, 0x3, 0x0, 0x0C, 0x0152
103.251702666666674, command with data, 0x3, 0x0, 0x0C, 0x0153
103.364957708333336, command with data, 0x3, 0x0, 0x0C, 0x0154
103.475436916666666, command with data, 0x3, 0x0, 0x0C, 0x0156
103.588690958333331, command with data, 0x3, 0x0, 0x0C, 0x0157
103.704719833333328, command with data, 0x3, 0x0, 0x0C, 0x0158
103.815198041666662, command with data, 0x3, 0x0, 0x0C, 0x0200
103.917347750000005, command with data, 0x3, 0x0, 0x0C, 0x0201
104.022274249999995, command with data, 0x3, 0x0, 0x0C, 0x0203
104.129976624999998, command with data, 0x3, 0x0, 0x0C, 0x0204
104.234904166666666, command with data, 0x3, 0x0, 0x0C, 0x0205
104.342607541666666, command with data, 0x3, 0x0, 0x0C, 0x0206
104.450307916666674, command with data, 0x3, 0x0, 0x0C, 0x0208
104.555234458333331, command with data, 0x3, 0x0, 0x0C, 0x0209
104.662936833333333, command with data, 0x3, 0x0, 0x0C, 0x0211
104.770639208333336, command with data, 0x3, 0x0, 0x0C, 0x0212
104.878340583333340, command with data, 0x3, 0x0, 0x0C, 0x0213
104.988819791666671, command with data, 0x3, 0x0, 0x0C, 0x0215
105.099299000000002, command with data, 0x3, 0x0, 0x0C, 0x0216
105.209777208333335, command with data, 0x3, 0x0, 0x0C, 0x0217
105.323030250000002, command with data, 0x3, 0x0, 0x0C, 0x0218
105.430734624999999, command with data, 0x3, 0x0, 0x0C, 0x0220
105.535663166666666, command with data, 0x3, 0x0, 0x0C, 0x0221
105.643361541666664, command with data, 0x3, 0x0, 0x0C, 0x0223
105.753957583333332, command with data, 0x3, 0x0, 0x0C, 0x0224
105.861545125000006, command with data, 0x3, 0x0, 0x0C, 0x0225
105.972022333333328, command with data, 0x3, 0x0, 0x0C, 0x0227
106.085275374999995, command with data, 0x3, 0x0, 0x0C, 0x0228
106.192977749999997, command with data, 0x3, 0x0, 0x0C, 0x0230
106.300680125000000, command with data, 0x3, 0x0, 0x0C, 0x0231
106.411158333333333, command with data, 0x3, 0x0, 0x0C, 0x0232
106.513388416666672, command, 0x0, 0x4, 0x07
106.568872999999996, command, 0x0, 0x3, 0x05
106.632394333333337, command with data, 0x3, 0x0, 0x0C, 0x0234
106.742871541666673, command with data, 0x3, 0x0, 0x0C, 0x0235
106.849462541666668, command, 0x3, 0x0, 0x10
106.974097499999999, command with data, 0x3, 0x0, 0x0C, 0x0238
108.701221291666670, command with data, 0x3, 0x0, 0x0C, 0x0239
108.806088208333335, command, 0x0, 0x3, 0x0E
109.168327125000005, command, 0x0, 0x3, 0x0F
109.834041166666665, command with data, 0x3, 0x0, 0x0C, 0x0240
110.734242166666661, command with data, 0x3, 0x0, 0x0C, 0x0241
111.155371750000000, command, 0x0, 0x3, 0x10
111.523711458333338, command, 0x0, 0x3, 0x0E
111.876499874999993, command with data, 0x3, 0x0, 0x0C, 0x0242
112.281473541666671, command, 0x0, 0x3, 0x0F
112.843318916666661, command with data, 0x3, 0x0, 0x0C, 0x0243
113.840677083333333, command with data, 0x3, 0x0, 0x0C, 0x0244
114.990708166666664, command with data, 0x3, 0x0, 0x0C, 0x0245
115.971409333333327, command with data, 0x3, 0x0, 0x0C, 0x0246
117.019286708333340, command with data, 0x3, 0x0, 0x0C, 0x0247
118.122124583333331, command with data, 0x3, 0x0, 0x0C, 0x0248
119.005120375000004, command with data, 0x3, 0x0, 0x0C, 0x0249
120.137934291666667, command with data, 0x3, 0x0, 0x0C, 0x0250
121.098373916666674, command with data, 0x3, 0x0, 0x0C, 0x0251
121.785689083333338, command, 0x0, 0x4, 0x07
121.841160500000001, command, 0x0, 0x3, 0x05
122.177343666666673, command with data, 0x3, 0x0, 0x0C, 0x0252
123.315712291666671, command with data, 0x3, 0x0, 0x0C, 0x0253
124.240064125000004, command with data, 0x3, 0x0, 0x0C, 0x0254
125.294323041666672, command with data, 0x3, 0x0, 0x0C, 0x0255
125.861859458333328, command, 0x0, 0x3, 0x1F
125.926937708333327, command with data, 0x3, 0x0, 0x0C, 0x0000
126.394404374999993, command, 0x0, 0x3, 0x1F
126.459619291666669, command with data, 0x3, 0x0, 0x0C, 0x0000
127.311246291666663, command with data, 0x3, 0x0, 0x0C, 0x0001
128.460997875000004, command with data, 0x3, 0x0, 0x0C, 0x0002
129.261818708333323, command, 0x0, 0x3, 0x16
129.320066916666661, command, 0x0, 0x4, 0x06
129.373967791666672, command with data, 0x3, 0x0, 0x0C, 0x0002
130.572656249999994, command, 0x0, 0x3, 0x17
130.633676666666673, command, 0x0, 0x4, 0x13
130.690544458333335, command, 0x3, 0x0, 0x10
131.412521291666678, command, 0x0, 0x3, 0x16
131.470769499999989, command, 0x0, 0x4, 0x06
131.531347124999996, command with data, 0x3, 0x0, 0x0C, 0x0003
131.629612624999993, command with data, 0x3, 0x0, 0x0C, 0x0003
132.662336583333342, command, 0x0, 0x3, 0x17
132.723356999999993, command, 0x0, 0x4, 0x13
132.780191583333334, command, 0x3, 0x0, 0x10
133.951592250000004, command with data, 0x3, 0x0, 0x0C, 0x0004
135.098846750000007, command with data, 0x3, 0x0, 0x0C, 0x0005
135.713931916666667, command, 0x0, 0x3, 0x16
135.772178708333342, command, 0x0, 0x4, 0x06
135.826114375000003, command with data, 0x3, 0x0, 0x0C, 0x0005
